date,report,time_et,agency
01-01,ISM Manufacturing,10:00,ISM
01-05,ISM Services,10:00,ISM
01-07,ADP National Employment,08:15,ADP
01-07,Factory Orders (Full Report),10:00,Census
01-08,Consumer Credit,15:00,Federal Reserve
01-08,NAHB Housing Market Index,10:00,NAHB
01-09,Consumer Sentiment (Preliminary),10:00,University of Michigan
01-09,Employment Report,08:30,BLS
01-09,Housing Starts,08:30,Census
01-13,CPI,08:30,BLS
01-13,New Home Sales,10:00,Census
01-14,Existing Home Sales,10:00,NAR
01-14,PPI,08:30,BLS
01-14,Retail Sales,08:30,Census
01-15,Empire State Manufacturing,08:30,NY Fed
01-15,Import/Export Prices,08:30,BLS
01-15,Philadelphia Fed Manufacturing,08:30,Philly Fed
01-16,Industrial Production,09:15,Federal Reserve
01-23,Consumer Sentiment (Final),10:00,University of Michigan
01-26,Chicago Fed NAI,08:30,Chicago Fed
01-26,Durable Goods (Advance),08:30,Census
01-27,Case-Shiller,09:00,S&P CoreLogic
01-27,Consumer Confidence,10:00,Conference Board
01-28,FOMC Statement,14:00,Federal Reserve
01-29,Factory Orders (Full Report),10:00,Census
01-29,GDP,08:30,BEA
01-29,PCE,08:30,BEA
01-30,Employment Cost Index,08:30,BLS
02-02,ISM Manufacturing,10:00,ISM
02-04,ADP National Employment,08:15,ADP
02-04,ISM Services,10:00,ISM
02-05,Productivity and Costs,08:30,BLS
02-06,Consumer Credit,15:00,Federal Reserve
02-06,Employment Report,08:30,BLS
02-10,Retail Sales,08:30,Census
02-11,CPI,08:30,BLS
02-12,Existing Home Sales,10:00,NAR
02-12,PPI,08:30,BLS
02-13,Consumer Sentiment (Preliminary),10:00,University of Michigan
02-16,Empire State Manufacturing,08:30,NY Fed
02-17,NAHB Housing Market Index,10:00,NAHB
02-18,Durable Goods (Advance),08:30,Census
02-18,FOMC Minutes,14:00,Federal Reserve
02-18,Housing Starts,08:30,Census
02-18,Import/Export Prices,08:30,BLS
02-18,Industrial Production,09:15,Federal Reserve
02-19,Philadelphia Fed Manufacturing,08:30,Philly Fed
02-20,New Home Sales,10:00,Census
02-23,Chicago Fed NAI,08:30,Chicago Fed
02-23,Factory Orders (Full Report),10:00,Census
02-24,Case-Shiller,09:00,S&P CoreLogic
02-24,Consumer Confidence,10:00,Conference Board
02-26,GDP,08:30,BEA
02-26,PCE,08:30,BEA
02-27,Consumer Sentiment (Final),10:00,University of Michigan
03-02,ISM Manufacturing,10:00,ISM
03-04,ADP National Employment,08:15,ADP
03-04,ISM Services,10:00,ISM
03-05,Productivity and Costs,08:30,BLS
03-06,Consumer Credit,15:00,Federal Reserve
03-06,Employment Report,08:30,BLS
03-06,Retail Sales,08:30,Census
03-11,CPI,08:30,BLS
03-12,Existing Home Sales,10:00,NAR
03-12,PPI,08:30,BLS
03-13,Consumer Sentiment (Preliminary),10:00,University of Michigan
03-13,JOLTS,10:00,BLS
03-16,Empire State Manufacturing,08:30,NY Fed
03-16,Industrial Production,09:15,Federal Reserve
03-17,Import/Export Prices,08:30,BLS
03-18,FOMC Statement,14:00,Federal Reserve
03-19,Philadelphia Fed Manufacturing,08:30,Philly Fed
03-23,Chicago Fed NAI,08:30,Chicago Fed
03-27,Consumer Sentiment (Final),10:00,University of Michigan
03-27,GDP,08:30,BEA
03-27,PCE,08:30,BEA
03-31,Case-Shiller,09:00,S&P CoreLogic
03-31,Consumer Confidence,10:00,Conference Board
03-31,JOLTS,10:00,BLS
04-01,ADP National Employment,08:15,ADP
04-01,ISM Manufacturing,10:00,ISM
04-01,Retail Sales,08:30,Census
04-03,Employment Report,08:30,BLS
04-03,ISM Services,10:00,ISM
04-07,Consumer Credit,15:00,Federal Reserve
04-08,FOMC Minutes,14:00,Federal Reserve
04-10,CPI,08:30,BLS
04-10,Consumer Sentiment (Preliminary),10:00,University of Michigan
04-10,Existing Home Sales,10:00,NAR
04-14,PPI,08:30,BLS
04-15,Empire State Manufacturing,08:30,NY Fed
04-15,Import/Export Prices,08:30,BLS
04-15,NAHB Housing Market Index,10:00,NAHB
04-16,Industrial Production,09:15,Federal Reserve
04-16,Philadelphia Fed Manufacturing,08:30,Philly Fed
04-24,Consumer Sentiment (Final),10:00,University of Michigan
04-27,Chicago Fed NAI,08:30,Chicago Fed
04-28,Case-Shiller,09:00,S&P CoreLogic
04-28,Consumer Confidence,10:00,Conference Board
